ID,METER,FP1P,FP2P,FP3P,FP4P,SP1P,SP2P,SP3P,SP4P,FP1S,FP2S,FP3S,FP4S,SP1S,SP2S,SP3S,SP4S
109,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,SSL,LLSL,LL
110,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LSSL,SSL
111,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,SLSL,SSL
112,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,SSL,LLSL,SSL
113,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LSSL,SSL
114,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,SLSL,SSL
115,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,SSL,LLSL,SSL
116,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,SSL,LSSL,SSL
117,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,SSL,SLSL,SSL
118,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,fa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LLSL,SSL,LLSL,SSL
119,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,LSL,LSSL,LL
120,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,LSL,SLSL,LL
121,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LSSL,LSL,LLSL,LL
122,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,LSL,LSSL,LL
123,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,LSL,SLSL,LL
124,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,SLSL,LSL,LLSL,LL
125,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mofta'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,LSL,LSSL,LL
126,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mafaa'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,LSL,SLSL,LL
127,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mostaf'ilon,faa'ilon,mostaf'ilon,fi'lon,LSSL,SSL,LSSL,SSL,LLSL,LSL,LLSL,LL
128,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,LSL,LSSL,SSL
129,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,LSL,SLSL,SSL
130,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mofta'ilon,faa'ilon,mostaf'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,LSSL,LSL,LLSL,SSL
131,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mofta'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,LSL,LSSL,SSL
132,bassit_complete,mofta'ilon,fa'ilon,mofta'ilon,fa'ilon,mafaa'ilon,faa'ilon,mafaa'ilon,fa'ilon,LSSL,SSL,LSSL,SSL,SLSL,LSL,SLSL,SSL
