ID,METER,FP1P,FP1S,FP2P,FP2S,FP3P,FP3S,FP4P,FP4S,SP1P,SP1S,SP2P,SP2S,SP3P,SP3S,SP4P,SP4S
76,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL
79,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,fa'oolon,SLL
82,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,fa'oolon,SLL
85,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolon,SLL
88,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,fa'oolon,SLL
91,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,fa'oolon,SLL
94,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,fa'oolo,SLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,fa'oolon,SLL
98,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
99,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
101,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
102,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
104,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
105,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
107,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
108,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
110,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
111,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
113,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
114,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
116,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
117,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
119,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
120,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
122,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
123,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
125,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
126,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
128,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
129,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
131,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
132,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
134,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
135,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
137,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
138,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
140,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
141,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
143,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
144,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilo,SLSS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
146,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
147,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
149,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
150,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
152,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
153,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'iilon,SLLL
155,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'ilon,SLSL
156,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolo,SLS,mafaa'iilon,SLLL,fa'oolo,SLS,mafaa'iilon,SLLL
158,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'ilon,SLSL
159,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolon,SLL,mafaa'iilon,SLLL
161,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'ilon,SLSL
162,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilon,SLLL
164,tawil_complete,fa'oolo,SLS,mafaa'ilon,SLSL,fa'oolo,SLS,mafaa'iilo,SLLS,fa'oolon,SLL,mafaa'iilon,SLLL,fa'oolon,SLL,mafaa'ilon,SLSL
